route_name,route_geom
13-49 - Monash Freeway to South Gippsland Highway,"LINESTRING (145.144 -37.89614, 145.1392 -37.9216, 145.1436 -37.92461, 145.135 -37.96621, 145.1417 -37.97818, 145.1536 -37.98828, 145.1587 -37.99603, 145.1633 -37.99749, 145.1892 -38.00086)"
13-49 - South Gippsland Highway to Monash Freeway,"LINESTRING (145.227 -38.00591, 145.1598 -37.99682, 145.1565 -37.9943, 145.153 -37.98794, 145.1441 -37.98187, 145.1353 -37.96833, 145.1349 -37.96492, 145.1431 -37.925, 145.1391 -37.9217, 145.1437 -37.89632)"
15 - Beach Road to Surrey Hills,"LINESTRING (145.0691 -37.99414, 145.0999 -37.82646)"
15 - Surrey Hills to Beach Road,"LINESTRING (145.0999 -37.82646, 145.0691 -37.99414)"
22 - Ferntree Gully to M1,"LINESTRING (145.2765 -37.88313, 145.2697 -37.88419, 145.2579 -37.89184, 145.2484 -37.89569, 145.246 -37.89727, 145.233 -37.89927, 145.2222 -37.8994, 145.2069 -37.90797, 145.205 -37.90853, 145.1435 -37.90138)"
22 - M1 to Ferntree Gully,"LINESTRING (145.1431 -37.90121, 145.205 -37.9084, 145.2224 -37.89919, 145.2328 -37.89907, 145.2462 -37.89703, 145.2482 -37.89567, 145.2577 -37.8918, 145.2698 -37.88403, 145.2767 -37.88295)"
3 - Albert Park to Cheltenham,"LINESTRING (144.9832 -37.85597, 144.9868 -37.86716, 145.0009 -37.88836, 145.0085 -37.90607, 145.0355 -37.93396, 145.0575 -37.96502, 145.0707 -37.9815)"
3 - Cheltenham to Albert Park,"LINESTRING (145.0705 -37.98157, 145.0571 -37.96487, 145.0352 -37.93389, 145.0083 -37.90619, 145.0055 -37.8976, 145.0004 -37.88792, 144.9867 -37.86774, 144.9825 -37.85671)"
32 - Derrimut to Montrose,"LINESTRING (144.7885 -37.81357, 144.8168 -37.81598, 144.8186 -37.80573, 144.8231 -37.80618, 144.8378 -37.80778, 144.8389 -37.80122, 144.839 -37.7969, 144.8778 -37.80131, 144.8985 -37.80411, 144.9361 -37.80961, 144.9433 -37.81255, 144.9554 -37.80833, 144.9559 -37.80581, 144.9812 -37.80859, 145.0378 -37.81481, 145.0464 -37.81583, 145.0456 -37.81981, 145.0626 -37.82189, 145.1904 -37.83682, 145.2073 -37.83355, 145.2419 -37.83227, 145.2515 -37.82514, 145.261 -37.82762, 145.268 -37.8326, 145.3364 -37.81225)"
32 - Montrose to Derrimut,"LINESTRING (145.3369 -37.81219, 145.2709 -37.83179, 145.2662 -37.8325, 145.2613 -37.82799, 145.2516 -37.82529, 145.2419 -37.83239, 145.2135 -37.83248, 145.1908 -37.837, 145.1432 -37.83128, 145.0588 -37.82012, 145.0586 -37.81728, 145.0027 -37.81077, 144.9561 -37.80596, 144.9556 -37.80857, 144.9508 -37.8098, 144.943 -37.81287, 144.9361 -37.80983, 144.9117 -37.80736, 144.9001 -37.80394, 144.8584 -37.79912, 144.839 -37.7969, 144.8381 -37.8061, 144.8378 -37.80778, 144.8189 -37.8059, 144.817 -37.81626, 144.7887 -37.8137)"
35 - Hume Highway to M80,"LINESTRING (144.9502 -37.64329, 144.9288 -37.64088, 144.9288 -37.64316, 144.9315 -37.64781, 144.9316 -37.64991, 144.9258 -37.65991, 144.9232 -37.66172, 144.9224 -37.66315, 144.9222 -37.66532, 144.9241 -37.6689, 144.9223 -37.67816, 144.9213 -37.68055, 144.9171 -37.68568, 144.9154 -37.69411)"
35 - M80 to Hume Highway,"LINESTRING (144.9153 -37.69341, 144.9171 -37.68521, 144.9211 -37.68052, 144.9222 -37.67796, 144.9239 -37.66883, 144.922 -37.66559, 144.9223 -37.66272, 144.9257 -37.65964, 144.9314 -37.64997, 144.9313 -37.64787, 144.9286 -37.64316, 144.9287 -37.64048, 144.9502 -37.64312)"
40 - M2 to Doncaster,"LINESTRING (144.9342 -37.73781, 145.0415 -37.74973, 145.0541 -37.75418, 145.0566 -37.75705, 145.0603 -37.7586, 145.0807 -37.76008, 145.0871 -37.76528, 145.0975 -37.76858, 145.1016 -37.77186, 145.1142 -37.7738, 145.1232 -37.77944, 145.1248 -37.7867)"
40 - Doncaster to M2,"LINESTRING (145.1246 -37.78693, 145.1231 -37.77961, 145.1144 -37.77403, 145.1015 -37.77193, 145.0975 -37.76868, 145.0869 -37.76529, 145.081 -37.76034, 145.0602 -37.75869, 145.0564 -37.75704, 145.0533 -37.75394, 145.0414 -37.7499, 144.9342 -37.7378)"
56 - Laverton to Spotswood,"LINESTRING (144.786 -37.828, 144.8262 -37.8315, 144.8289 -37.82737, 144.8337 -37.82954, 144.8811 -37.83473, 144.8827 -37.83595, 144.8829 -37.83705)"
56 - Spotswood to Laverton,"LINESTRING (144.8829 -37.83705, 144.8827 -37.83595, 144.8811 -37.83473, 144.8509 -37.8315, 144.8335 -37.8295, 144.8295 -37.82763, 144.8274 -37.82973, 144.8267 -37.83178, 144.7863 -37.82817)"
58 - Greenvale to Yan Yean Road,"LINESTRING (144.8819 -37.63475, 144.9739 -37.64675, 145.0225 -37.65175, 145.0238 -37.65161, 145.0256 -37.64879, 145.0264 -37.64459, 145.0647 -37.64864, 145.0691 -37.64819, 145.07 -37.6493, 145.0761 -37.65037, 145.1 -37.65245, 145.1025 -37.65168, 145.1033 -37.64938, 145.1087 -37.65184, 145.1131 -37.64974, 145.1197 -37.6504)"
58 - Yan Yean Road to Greenvale,"LINESTRING (145.1196 -37.6504, 145.1131 -37.64974, 145.1087 -37.65184, 145.1033 -37.64938, 145.1025 -37.65168, 145.1 -37.65245, 145.0759 -37.65067, 145.0687 -37.6484, 145.0264 -37.64467, 145.026 -37.64853, 145.0237 -37.65192, 145.0221 -37.65188, 144.9741 -37.64708, 144.8837 -37.63517)"
A60 - M3 to Southbank,"LINESTRING (145.1939 -37.96668, 145.1561 -37.93276, 145.1295 -37.91594, 145.0937 -37.89393, 145.0851 -37.89243, 145.0807 -37.88824, 145.0717 -37.88488, 145.0629 -37.88475, 145.052 -37.88293, 145.0459 -37.87656, 145.0394 -37.87483, 145.0326 -37.86841, 145.0309 -37.86851, 145.0265 -37.86596, 145.015 -37.861, 144.9819 -37.85547, 144.9795 -37.85402, 144.9784 -37.85121, 144.973 -37.83625, 144.9676 -37.83342, 144.9622 -37.82799)"
A60 - Southbank to M3,"LINESTRING (144.9619 -37.82736, 144.9679 -37.83334, 144.9731 -37.83606, 144.9807 -37.85478, 144.9931 -37.85773, 145.0153 -37.86077, 145.0309 -37.86831, 145.0327 -37.86827, 145.0396 -37.8747, 145.0454 -37.87615, 145.0524 -37.88293, 145.0628 -37.88459, 145.0716 -37.8847, 145.0807 -37.88801, 145.0855 -37.89243, 145.0939 -37.89368, 145.1357 -37.91963, 145.1559 -37.93228, 145.1928 -37.96532)"
M1 (East) - City to M420,"LINESTRING (144.9317 -37.82621, 144.9415 -37.82545, 144.9582 -37.82829, 144.9718 -37.82492, 144.9898 -37.82493, 145.007 -37.83075, 145.0137 -37.8299, 145.0209 -37.83112, 145.0279 -37.83734, 145.037 -37.83792, 145.0393 -37.84019, 145.0412 -37.84695, 145.0483 -37.84954, 145.0575 -37.85497, 145.0616 -37.8667, 145.0687 -37.87622, 145.0799 -37.87692, 145.0925 -37.88372, 145.1098 -37.88683, 145.1204 -37.89145, 145.1418 -37.89395, 145.1467 -37.89579, 145.1543 -37.90392, 145.1642 -37.91118, 145.1759 -37.92199, 145.205 -37.94519, 145.2337 -37.96568, 145.2392 -37.97607, 145.2473 -37.98403)"
M1 (East) - M420 to City,"LINESTRING (145.2483 -37.9852, 145.2388 -37.97589, 145.2336 -37.96601, 145.2049 -37.94547, 145.1749 -37.92148, 145.1652 -37.9124, 145.1547 -37.90467, 145.1468 -37.8962, 145.1417 -37.89417, 145.1206 -37.89174, 145.11 -37.88711, 145.0924 -37.88386, 145.0798 -37.87709, 145.0716 -37.8772, 145.0685 -37.8763, 145.0612 -37.86644, 145.0572 -37.85486, 145.0483 -37.84974, 145.041 -37.84702, 145.0392 -37.84034, 145.0369 -37.83803, 145.0282 -37.8376, 145.0221 -37.83186, 145.0144 -37.8301, 145.0049 -37.83086, 144.9999 -37.83328, 144.9959 -37.83377, 144.9915 -37.83241, 144.9863 -37.8272, 144.9831 -37.82621, 144.9709 -37.82527, 144.9581 -37.82844, 144.9418 -37.82566, 144.9314 -37.82646)"
M2 - CityLink then Tullamarine,"LINESTRING (144.9308 -37.82324, 144.9338 -37.81444, 144.9334 -37.80641, 144.9365 -37.8006, 144.9366 -37.79145, 144.9396 -37.78474, 144.9369 -37.77497, 144.9378 -37.75772, 144.9344 -37.74979, 144.9339 -37.74444, 144.9294 -37.73678, 144.9243 -37.73379, 144.9142 -37.7327, 144.9033 -37.73561, 144.8945 -37.73463, 144.8919 -37.73338, 144.8904 -37.73041, 144.8924 -37.71615, 144.8873 -37.69765, 144.8822 -37.69075, 144.8722 -37.68245)"
M2 - Tullarmarine then CityLink,"LINESTRING (144.8721 -37.68203, 144.8817 -37.68993, 144.8875 -37.69771, 144.8928 -37.7147, 144.8906 -37.73042, 144.892 -37.7333, 144.9033 -37.73543, 144.9144 -37.73247, 144.924 -37.73356, 144.9294 -37.73637, 144.934 -37.74398, 144.9345 -37.74952, 144.9381 -37.75806, 144.9372 -37.7752, 144.9398 -37.78479, 144.9368 -37.79149, 144.9366 -37.80074, 144.9336 -37.80621, 144.934 -37.81419, 144.9311 -37.82279)"
M3 - Frankston to Hoddle Street,"LINESTRING (145.1625 -38.08848, 145.1762 -38.08257, 145.1816 -38.07161, 145.1895 -38.03285, 145.1873 -38.01672, 145.1947 -37.96775, 145.2022 -37.95621, 145.2155 -37.91711, 145.2142 -37.88181, 145.2112 -37.86508, 145.2173 -37.84409, 145.2173 -37.82217, 145.2155 -37.81341, 145.2079 -37.80593, 145.1927 -37.80032, 145.1739 -37.80412, 145.1422 -37.7984, 145.1218 -37.79729, 145.1088 -37.79348, 145.1014 -37.78736, 145.0982 -37.78126, 145.0943 -37.77978, 145.0796 -37.78015, 145.0606 -37.78543, 145.0499 -37.79103, 145.0161 -37.79125, 145 -37.79568)"
M3 - Hoddle St to Frankston,"LINESTRING (145.0018 -37.79498, 145.0158 -37.79093, 145.0501 -37.79065, 145.0603 -37.78508, 145.0788 -37.78009, 145.0942 -37.77959, 145.0985 -37.78131, 145.1088 -37.79335, 145.1206 -37.79687, 145.1425 -37.79828, 145.1736 -37.80396, 145.1926 -37.80011, 145.2077 -37.8056, 145.2157 -37.81327, 145.2175 -37.82183, 145.2176 -37.84387, 145.2114 -37.86572, 145.215 -37.88567, 145.2157 -37.91789, 145.2028 -37.95549, 145.195 -37.96757, 145.1875 -38.01691, 145.1898 -38.03309, 145.1805 -38.07662, 145.174 -38.08445, 145.1584 -38.09001)"
M420 - South Gippsland Highway to Monash Freeway,"LINESTRING (145.247 -38.035, 145.2466 -38.0279, 145.2467 -38.02587, 145.2499 -38.01283, 145.2516 -38.0047, 145.2526 -37.99764, 145.2536 -37.99446)"
M79 - Essendon to Gap Road,"LINESTRING (144.9001 -37.73548, 144.8842 -37.73376, 144.8714 -37.72982, 144.8454 -37.72468, 144.8325 -37.71327, 144.8188 -37.70741, 144.7626 -37.67084, 144.744 -37.66152, 144.7247 -37.62714, 144.7148 -37.62051, 144.6993 -37.60366, 144.6812 -37.5791)"
M79 - Gap Road to Essendon,"LINESTRING (144.6817 -37.57915, 144.6995 -37.6035, 144.7156 -37.6209, 144.7249 -37.62705, 144.742 -37.65788, 144.7463 -37.6624, 144.7638 -37.67126, 144.8063 -37.69807, 144.8183 -37.70673, 144.8327 -37.713, 144.8456 -37.72442, 144.8722 -37.72984, 144.8843 -37.73362, 144.8945 -37.73385, 144.9002 -37.73513)"
M80 - Altona to Greensborough,"LINESTRING (144.8113 -37.82373, 144.8083 -37.81639, 144.8063 -37.80331, 144.8029 -37.80127, 144.7914 -37.79962, 144.7875 -37.79574, 144.7877 -37.78886, 144.7937 -37.77803, 144.7949 -37.77069, 144.8001 -37.76741, 144.8106 -37.76814, 144.816 -37.76629, 144.8238 -37.75657, 144.8483 -37.74109, 144.8548 -37.73138, 144.9031 -37.69411, 144.9064 -37.69349, 144.9194 -37.69453, 144.962 -37.69176, 145.0144 -37.68577, 145.0416 -37.68747, 145.0581 -37.68614, 145.0746 -37.68691, 145.0896 -37.69113, 145.0927 -37.69305)"
